left	right	node	children	time	population
0.851018	0.933020	652	122,124	0.000000	0	
0.933020	1.000000	652	122,124,126	0.000000	0	
0.131240	0.851018	652	0,124	0.000000	0	
0.000000	0.131240	651	122,124,126	0.000000	0	
0.131240	0.851018	651	122,126	0.000000	0	
0.851018	0.933020	651	0,126	0.000000	0	
0.210997	0.347537	650	121,125	0.000000	0	
0.347537	1.000000	650	121,123,125	0.000000	0	
0.201637	0.210997	650	0,125	0.000000	0	
0.000000	0.201637	649	121,123,125	0.000000	0	
0.201637	0.210997	649	121,123	0.000000	0	
0.210997	0.347537	649	0,123	0.000000	0	
0.615863	1.000000	648	335,337	0.000000	0	
0.296000	0.615863	648	0,335	0.000000	0	
0.000000	0.296000	647	335,337	0.000000	0	
0.296000	0.615863	647	0,337	0.000000	0	
0.778251	1.000000	644	0,234	0.000000	0	
0.000000	0.778251	643	0,234	0.000000	0	
0.540772	0.662470	642	258,260	0.000000	0	
0.662470	1.000000	642	256,258,260	0.000000	0	
0.378442	0.540772	642	0,258	0.000000	0	
0.000000	0.378442	641	256,258,260	0.000000	0	
0.378442	0.540772	641	256,260	0.000000	0	
0.540772	0.662470	641	0,256	0.000000	0	
0.000000	0.256429	640	89,91	0.000000	0	
0.256429	0.277774	640	0,91	0.000000	0	
0.277774	1.000000	639	89,91	0.000000	0	
0.256429	0.277774	639	0,89	0.000000	0	
0.091927	1.000000	638	0,53	0.000000	0	
0.000000	0.091927	637	0,53	0.000000	0	
0.000000	0.492418	636	0,235	0.000000	0	
0.492418	1.000000	635	0,235	0.000000	0	
0.000000	0.247056	634	117,119	0.000000	0	
0.247056	0.615443	634	0,117	0.000000	0	
0.615443	1.000000	633	117,119	0.000000	0	
0.247056	0.615443	633	0,119	0.000000	0	
0.000000	0.193112	632	271,273,275	0.000000	0	
0.193112	0.656685	632	271,275	0.000000	0	
0.656685	0.678734	632	0,275	0.000000	0	
0.656685	0.678734	631	271,273	0.000000	0	
0.678734	1.000000	631	271,273,275	0.000000	0	
0.193112	0.656685	631	0,273	0.000000	0	
0.944035	0.956796	628	326,328	0.000000	0	
0.956796	1.000000	628	324,326,328	0.000000	0	
0.236396	0.944035	628	0,328	0.000000	0	
0.000000	0.236396	627	324,326,328	0.000000	0	
0.236396	0.944035	627	324,326	0.000000	0	
0.944035	0.956796	627	0,324	0.000000	0	
0.134307	0.535090	626	298,300	0.000000	0	
0.535090	1.000000	626	296,298,300	0.000000	0	
0.009906	0.134307	626	0,298	0.000000	0	
0.000000	0.009906	625	296,298,300	0.000000	0	
0.009906	0.134307	625	296,300	0.000000	0	
0.134307	0.535090	625	0,296	0.000000	0	
0.000000	0.830170	624	262,264,266,268	0.000000	0	
0.830170	0.874790	624	264,266,268	0.000000	0	
0.874790	0.920039	624	264,266	0.000000	0	
0.920039	0.959299	624	0,266	0.000000	0	
0.874790	0.920039	623	262,268	0.000000	0	
0.920039	0.959299	623	262,264,268	0.000000	0	
0.959299	1.000000	623	262,264,266,268	0.000000	0	
0.830170	0.874790	623	0,262	0.000000	0	
0.000000	0.188340	622	167,169,171,173,175,177	0.000000	0	
0.188340	0.504170	622	167,169,171,175,177	0.000000	0	
0.504170	0.599669	622	169,171,175,177	0.000000	0	
0.599669	0.716426	622	171,175,177	0.000000	0	
0.716426	0.824558	622	175,177	0.000000	0	
0.824558	0.866182	622	0,177	0.000000	0	
0.504170	0.599669	621	167,173	0.000000	0	
0.599669	0.716426	621	167,169,173	0.000000	0	
0.716426	0.824558	621	167,169,171,173	0.000000	0	
0.824558	0.866182	621	167,169,171,173,175	0.000000	0	
0.866182	1.000000	621	167,169,171,173,175,177	0.000000	0	
0.188340	0.504170	621	0,173	0.000000	0	
0.000000	0.004755	620	150,152	0.000000	0	
0.004755	0.978383	620	0,150	0.000000	0	
0.978383	1.000000	619	150,152	0.000000	0	
0.004755	0.978383	619	0,152	0.000000	0	
0.016232	1.000000	618	0,80	0.000000	0	
0.000000	0.016232	617	0,80	0.000000	0	
0.384377	0.592766	616	55,59	0.000000	0	
0.592766	0.870806	616	55,59,61	0.000000	0	
0.870806	1.000000	616	55,57,59,61	0.000000	0	
0.277821	0.384377	616	0,59	0.000000	0	
0.000000	0.277821	615	55,57,59,61	0.000000	0	
0.277821	0.384377	615	55,57,61	0.000000	0	
0.384377	0.592766	615	57,61	0.000000	0	
0.592766	0.870806	615	0,57	0.000000	0	
0.262382	1.000000	614	0,79	0.000000	0	
0.000000	0.262382	613	0,79	0.000000	0	
0.639690	1.000000	612	0,236	0.000000	0	
0.000000	0.639690	611	0,236	0.000000	0	
0.000000	0.247596	610	330,332,334	0.000000	0	
0.247596	0.483816	610	330,334	0.000000	0	
0.483816	0.986759	610	0,330	0.000000	0	
0.483816	0.986759	609	332,334	0.000000	0	
0.986759	1.000000	609	330,332,334	0.000000	0	
0.247596	0.483816	609	0,332	0.000000	0	
0.900766	1.000000	606	0,233	0.000000	0	
0.000000	0.900766	605	0,233	0.000000	0	
0.496851	1.000000	604	158,160	0.000000	0	
0.199305	0.496851	604	0,160	0.000000	0	
0.000000	0.199305	603	158,160	0.000000	0	
